Index,ID,Name,Other,Midterm,Final,Total
1,22170326,Henrietta F. Jonathan,5,6,8,9
2,22121367,Adrianna U. Benson,5,6,8,9
3,22196746,Valentin Z. Margery,5,6,8,9
4,22133349,Coleman T. Bryan,5,6,8,9
5,22191494,Maddox F. Tours,5,6,8,9
6,22130230,Erick J. Walkley,5,6,8,9
7,22106484,Xenia S. Malachi,5,6,8,9
8,22109416,Knox W. DeQuincey,5,6,8,9
9,22152167,Ann M. Vaughan,5,6,8,9
10,22182125,Kirk E. Cowper,5,6,8,9
11,22135751,Williamson C. Tomlinson,5,6,8,9
12,22171126,Chana C. Wild,5,6,8,9
13,22148971,Elian O. Zacharias,5,6,8,9
14,22177615,Nettie Z. Philip,5,6,8,9
15,22163601,Izaiah B. Tours,5,6,8,9
16,22122912,Cameron N. Perkin,5,6,8,9
17,22162964,Jenkins E. Bill,5,6,8,9
18,22149381,Messiah N. Bartlett,5,6,8,9
19,22111686,Xaviell J. Spenser,5,6,8,9
20,22145579,Victor R. Jefferson,5,6,8,9
21,22136722,Verna R. Rutherford,5,6,8,9
22,22148394,Henrik X. Thomson,5,6,8,9
23,22176898,Quint D. Geordie,5,6,8,9
24,22151558,Salvador F. Dan,5,6,8,9
25,22120742,Graysen R. Christopher,5,6,8,9
26,22196024,Addyson Q. Anna,5,6,8,9
27,22120085,Joziah H. Wilhelmina,5,6,8,9
28,22127406,Dillon W. Armstrong,5,6,8,9
29,22174290,Jimmy X. Henry,5,6,8,9
30,22186840,Zena V. Sonmerfield,5,6,8,9
31,22170037,Renee D. Temple,5,6,8,9
32,22183052,Blake B. Ramirez,5,6,8,9
33,22196188,Zoila U. Ricardo,5,6,8,9
34,22121822,Kristi J. Morris,5,6,8,9
35,22178956,Harvey T. Antonia,5,6,8,9
36,22198556,Juanita H. Maria,5,6,8,9
37,22108348,Jayleen T. Wyld,5,6,8,9
38,22145811,Remy F. Hudson,5,6,8,9
39,22150664,Becky Z. Landon,5,6,8,9
40,22141921,Ellen X. Kingsley,5,6,8,9
41,22199516,Virgilio Q. Hansom,5,6,8,9
42,22160037,Freda B. Meredith,5,6,8,9
43,22150745,Luciano W. Timothy,5,6,8,9
44,22188380,Barrett J. Galbraith,5,6,8,9
45,22118651,Kira K. Mary,5,6,8,9
46,22115662,Zak Z. Noah,5,6,8,9
47,22159148,Remington V. Halifax,5,6,8,9
48,22196012,Arden Y. Cook,5,6,8,9
49,22108692,Cooper M. DuBois,5,6,8,9
50,22168954,Oakley S. Christ,5,6,8,9
51,22124436,Ernesto V. Walker,5,6,8,9
52,22144865,Amina Y. Beaufort,5,6,8,9
53,22198320,Sebastian T. Haydn,5,6,8,9
54,22134546,Preston R. Gold,5,6,8,9
55,22189156,Aurelia I. Beck,5,6,8,9
56,22162313,Amiya O. Dewar,5,6,8,9
57,22139627,Lexie A. Scripps,5,6,8,9
58,22128187,Belen B. Esther,5,6,8,9
59,22101116,Poppy X. Shakespeare,5,6,8,9
60,22159684,Matthew Y. Archibald,5,6,8,9
61,22179133,Daniela L. Dupont,5,6,8,9
62,22114566,Willa Z. Edie,5,6,8,9
63,22142756,Hudson B. Edie,5,6,8,9
64,22180812,Geraldine R. Gallup,5,6,8,9
65,22111201,Quinci J. Austin,5,6,8,9
66,22195055,Armani R. Melville,5,6,8,9
67,22164221,Armando F. Hill,5,6,8,9
68,22133093,Haylee B. Will,5,6,8,9
69,22122802,Teresa M. Jeames,5,6,8,9
70,22146861,Ridge K. Attlee,5,6,8,9
71,22158525,Izaiah K. Sanders,5,6,8,9
72,22121034,Destiny T. Gibbon,5,6,8,9
73,22103803,Terrance W. Susan,5,6,8,9
74,22168094,Urias P. Felton,5,6,8,9
75,22193295,Orion X. Joyce,5,6,8,9
76,22138361,Ula Z. Arabella,5,6,8,9
77,22183637,Shannon H. Elizabeth,5,6,8,9
78,22146029,Jackson M. Bryan,5,6,8,9
79,22154582,Iliana J. Rudolf,5,6,8,9
80,22123214,Loretta N. Blake,5,6,8,9
81,22170296,Qeleigh S. Dunbar,5,6,8,9
82,22131910,Mack K. Rudolf,5,6,8,9
83,22150697,Valentina N. Joe,5,6,8,9
84,22180145,Rogelio H. Conrad,5,6,8,9
85,22146431,Helene D. Lopez,5,6,8,9
86,22182832,Charlie Q. Dutt,5,6,8,9
87,22157087,Harry V. Wheatley,5,6,8,9
88,22112315,Anika K. Cissie,5,6,8,9
89,22155151,Gregory W. Haydn,5,6,8,9
90,22123097,Darian T. Raymond,5,6,8,9
91,22179575,Sally H. Walton,5,6,8,9
92,22143274,Luis X. Sara(h),5,6,8,9
93,22110662,Gladys J. Malory,5,6,8,9
94,22117280,Alivia M. Charley,5,6,8,9
95,22131705,Elias B. Eliot,5,6,8,9
96,22122280,Tiana D. Bartholomew,5,6,8,9
97,22149045,Max I. Milton,5,6,8,9
98,22125479,Zayd N. Camp,5,6,8,9
99,22132790,Theodore T. Eddie,5,6,8,9
100,22128828,Olga C. Zechariah,5,6,8,9
