Index,ID,Name,Other,Midterm,Final,Total
1,22170326,Henrietta F. Jonathan,5,6,7,8
2,22121367,Adrianna U. Benson,5,6,7,8
3,22196746,Valentin Z. Margery,5,6,7,8
4,22133349,Coleman T. Bryan,5,6,7,8
5,22191494,Maddox F. Tours,5,6,7,8
6,22130230,Erick J. Walkley,5,6,7,8
7,22106484,Xenia S. Malachi,5,6,7,8
8,22109416,Knox W. DeQuincey,5,6,7,8
9,22152167,Ann M. Vaughan,5,6,7,8
10,22182125,Kirk E. Cowper,5,6,7,8
11,22135751,Williamson C. Tomlinson,5,6,7,8
12,22171126,Chana C. Wild,5,6,7,8
13,22148971,Elian O. Zacharias,5,6,7,8
14,22177615,Nettie Z. Philip,5,6,7,8
15,22163601,Izaiah B. Tours,5,6,7,8
16,22122912,Cameron N. Perkin,5,6,7,8
17,22162964,Jenkins E. Bill,5,6,7,8
18,22149381,Messiah N. Bartlett,5,6,7,8
19,22111686,Xaviell J. Spenser,5,6,7,8
20,22145579,Victor R. Jefferson,5,6,7,8
21,22136722,Verna R. Rutherford,5,6,7,8
22,22148394,Henrik X. Thomson,5,6,7,8
23,22176898,Quint D. Geordie,5,6,7,8
24,22151558,Salvador F. Dan,5,6,7,8
25,22120742,Graysen R. Christopher,5,6,7,8
26,22196024,Addyson Q. Anna,5,6,7,8
27,22120085,Joziah H. Wilhelmina,5,6,7,8
28,22127406,Dillon W. Armstrong,5,6,7,8
29,22174290,Jimmy X. Henry,5,6,7,8
30,22186840,Zena V. Sonmerfield,5,6,7,8
31,22170037,Renee D. Temple,5,6,7,8
32,22183052,Blake B. Ramirez,5,6,7,8
33,22196188,Zoila U. Ricardo,5,6,7,8
34,22121822,Kristi J. Morris,5,6,7,8
35,22178956,Harvey T. Antonia,5,6,7,8
36,22198556,Juanita H. Maria,5,6,7,8
37,22108348,Jayleen T. Wyld,5,6,7,8
38,22145811,Remy F. Hudson,5,6,7,8
39,22150664,Becky Z. Landon,5,6,7,8
40,22141921,Ellen X. Kingsley,5,6,7,8
41,22199516,Virgilio Q. Hansom,5,6,7,8
42,22160037,Freda B. Meredith,5,6,7,8
43,22150745,Luciano W. Timothy,5,6,7,8
44,22188380,Barrett J. Galbraith,5,6,7,8
45,22118651,Kira K. Mary,5,6,7,8
46,22115662,Zak Z. Noah,5,6,7,8
47,22159148,Remington V. Halifax,5,6,7,8
48,22196012,Arden Y. Cook,5,6,7,8
49,22108692,Cooper M. DuBois,5,6,7,8
50,22168954,Oakley S. Christ,5,6,7,8
