Index,ID,Name,Other,Midterm,Final,Total
1,22161528,Briella U. Thoreau,1,2,3,4
2,22197806,Ryker R. Spencer,1,2,3,4
3,22115151,Fox N. Dierser,1,2,3,4
4,22106832,Brianna Y. Torres,1,2,3,4
5,22118825,Julio B. Burne-Jones,1,2,3,4
6,22157739,Adrian B. Bellamy,1,2,3,4
7,22149980,Averi M. Bryan,1,2,3,4
8,22154010,Walter B. Cumberland,1,2,3,4
9,22134162,Kyler I. Henry,1,2,3,4
10,22120228,Maeve Y. Philip,1,2,3,4
11,22144111,Nyla V. Sawyer,1,2,3,4
12,22100874,Xanthippe D. Gunter,1,2,3,4
13,22135259,Damien M. Jerry,1,2,3,4
14,22167028,Journi X. Eden,1,2,3,4
15,22129785,Willow W. Sainsbury,1,2,3,4
16,22146894,Nia B. Constance,1,2,3,4
17,22181427,Marcellus I. Oliver,1,2,3,4
18,22160506,Emersyn J. Baker,1,2,3,4
19,22126632,Jesse P. Holmes,1,2,3,4
20,22151492,Bernard G. Hoover,1,2,3,4
21,22160473,Chloe D. Betsy,1,2,3,4
22,22141158,Ellianna Q. Fred,1,2,3,4
23,22186397,Winston H. Murphy,1,2,3,4
24,22199375,Walker Y. Miller,1,2,3,4
25,22126504,Roberto C. Herty,1,2,3,4
26,22167280,Adeline K. Theresa,1,2,3,4
27,22183635,Julius R. Raymond,1,2,3,4
28,22191636,Leandro C. Murray,1,2,3,4
29,22100644,Adrian H. Maria,1,2,3,4
30,22135241,Sky E. Tout,1,2,3,4
31,22190784,Adele M. Clare,1,2,3,4
32,22118730,Clifford O. Rutherford,1,2,3,4
33,22183383,Reign K. Barton,1,2,3,4
34,22178896,Aria A. Jeremiah,1,2,3,4
35,22151003,Alfonso H. Wilson,1,2,3,4
36,22135115,Rose U. Lucius,1,2,3,4
37,22177066,Corey Y. Horatio,1,2,3,4
38,22125906,Corinne B. May,1,2,3,4
39,22155255,Brandon G. Warren,1,2,3,4
40,22136224,Kellen X. Pritt,1,2,3,4
41,22157380,Bexley D. Belle,1,2,3,4
42,22190589,Dixon I. Noel,1,2,3,4
43,22103955,Melody F. Yerkes,1,2,3,4
44,22127542,Fabian I. Gibson,1,2,3,4
45,22170348,Cade R. Hobson,1,2,3,4
46,22160878,Bella B. Thompson,1,2,3,4
47,22130179,Fern A. Brooke,1,2,3,4
48,22171370,Undene E. Austin,1,2,3,4
49,22106368,Meilani X. Beaufort,1,2,3,4
50,22117575,Faye D. Finn,1,2,3,4
51,22174710,Gina W. Arabella,1,2,3,4
52,22107565,Kelsey K. Noyes,1,2,3,4
53,22128392,Harlow D. Grote,1,2,3,4
54,22154352,Maxton I. Evans,1,2,3,4
55,22106434,Thompson V. Dorothy,1,2,3,4
56,22129459,Maliah J. Anderson,1,2,3,4
57,22113540,Adelyn G. Dulles,1,2,3,4
58,22174245,Maleah D. Jacob,1,2,3,4
59,22125957,Serenity I. Milton,1,2,3,4
60,22158932,Blaine I. Luke,1,2,3,4
61,22175014,Mekhi U. Davis,1,2,3,4
62,22150345,Hannah M. Kennan,1,2,3,4
63,22134215,Adan J. Woolley,1,2,3,4
64,22154147,Braydon O. Rosalind,1,2,3,4
65,22111346,Quintana A. Haydn,1,2,3,4
66,22119292,Terrance F. Eugene,1,2,3,4
67,22169359,Gilbert J. Bennett,1,2,3,4
68,22150769,Patterson A. Adolph,1,2,3,4
69,22195322,Clementine Y. Clarissa,1,2,3,4
70,22172432,Sutton Y. Hansom,1,2,3,4
71,22102335,Karen J. Peterson,1,2,3,4
72,22123483,Alannah U. Locke,1,2,3,4
73,22163653,Ezekiel J. Mill,1,2,3,4
74,22169485,Baylee B. Williams,1,2,3,4
75,22185764,John T. Hill,1,2,3,4
76,22154985,Eugene W. Tyler,1,2,3,4
77,22152145,Lia A. Miller,1,2,3,4
78,22188321,Zachery R. Oscar,1,2,3,4
79,22198638,Addison U. Bailey,1,2,3,4
80,22123732,Urso Q. Clemens,1,2,3,4
81,22117590,Howard F. Davis,1,2,3,4
82,22180048,Hazel P. Robin,1,2,3,4
83,22116046,Urso S. Tobias,1,2,3,4
84,22109795,Ahmad S. Russell,1,2,3,4
85,22196428,Colette L. Sawyer,1,2,3,4
86,22148857,Ken F. Vincent,1,2,3,4
87,22194586,Violet O. Moulton,1,2,3,4
88,22157475,Ryann J. Carl,1,2,3,4
89,22191844,Miguel E. Mond,1,2,3,4
90,22192400,Jaxtyn V. Eddie,1,2,3,4
91,22190472,Rhonda A. Blake,1,2,3,4
92,22118824,Achilles O. Smith,1,2,3,4
93,22174981,Myra R. Lopez,1,2,3,4
94,22168246,Marc H. Ann,1,2,3,4
95,22122181,Kendra M. Fox,1,2,3,4
96,22161157,Lewis T. Evan,1,2,3,4
97,22145591,Trace Z. Stuart,1,2,3,4
98,22199911,Raquel I. Gabriel,1,2,3,4
99,22124774,Lyra F. Barrett,1,2,3,4
100,22123861,Avalynn U. Moore,1,2,3,4
101,22170326,Henrietta F. Jonathan,1,2,3,4
