Index,ID,Name,Other,Midterm,Final,Total
1,22170326,Henrietta F. Jonathan,1,5,7,6.5
2,22121367,Adrianna U. Benson,1,5,7,6.5
3,22196746,Valentin Z. Margery,1,5,7,6.5
4,22133349,Coleman T. Bryan,1,5,7,6.5
5,22191494,Maddox F. Tours,1,5,7,6.5
6,22130230,Erick J. Walkley,1,5,7,6.5
7,22106484,Xenia S. Malachi,1,5,7,6.5
8,22109416,Knox W. DeQuincey,1,5,7,6.5
9,22152167,Ann M. Vaughan,1,5,7,6.5
10,22182125,Kirk E. Cowper,1,5,7,6.5
11,22135751,Williamson C. Tomlinson,1,5,7,6.5
12,22171126,Chana C. Wild,1,5,7,6.5
13,22148971,Elian O. Zacharias,1,5,7,6.5
14,22177615,Nettie Z. Philip,1,5,7,6.5
15,22163601,Izaiah B. Tours,1,5,7,6.5
16,22122912,Cameron N. Perkin,1,5,7,6.5
17,22162964,Jenkins E. Bill,1,5,7,6.5
18,22149381,Messiah N. Bartlett,1,5,7,6.5
19,22111686,Xaviell J. Spenser,1,5,7,6.5
20,22145579,Victor R. Jefferson,1,5,7,6.5
21,22136722,Verna R. Rutherford,1,5,7,6.5
22,22148394,Henrik X. Thomson,1,5,7,6.5
23,22176898,Quint D. Geordie,1,5,7,6.5
24,22151558,Salvador F. Dan,1,5,7,6.5
25,22120742,Graysen R. Christopher,1,5,7,6.5
26,22196024,Addyson Q. Anna,1,5,7,6.5
27,22120085,Joziah H. Wilhelmina,1,5,7,6.5
28,22127406,Dillon W. Armstrong,1,5,7,6.5
29,22174290,Jimmy X. Henry,1,5,7,6.5
30,22186840,Zena V. Sonmerfield,1,5,7,6.5
31,22170037,Renee D. Temple,1,5,7,6.5
32,22183052,Blake B. Ramirez,1,5,7,6.5
33,22196188,Zoila U. Ricardo,1,5,7,6.5
34,22121822,Kristi J. Morris,1,5,7,6.5
35,22178956,Harvey T. Antonia,1,5,7,6.5
36,22198556,Juanita H. Maria,1,5,7,6.5
37,22108348,Jayleen T. Wyld,1,5,7,6.5
38,22145811,Remy F. Hudson,1,5,7,6.5
39,22150664,Becky Z. Landon,1,5,7,6.5
40,22141921,Ellen X. Kingsley,1,5,7,6.5
41,22199516,Virgilio Q. Hansom,1,5,7,6.5
42,22160037,Freda B. Meredith,1,5,7,6.5
43,22150745,Luciano W. Timothy,1,5,7,6.5
44,22188380,Barrett J. Galbraith,1,5,7,6.5
45,22118651,Kira K. Mary,1,5,7,6.5
46,22115662,Zak Z. Noah,1,5,7,6.5
47,22159148,Remington V. Halifax,1,5,7,6.5
48,22196012,Arden Y. Cook,1,5,7,6.5
49,22108692,Cooper M. DuBois,1,5,7,6.5
50,22168954,Oakley S. Christ,1,5,7,6.5
