No,Student ID,First name,Last name,Gender, Date of Birth,Social ID
1,2215387131720118,Uriah,U. Robert,M,26/5,092256863662
2,2217318510702693,Lee,Z. Congreve,M,26/5,092240269444
3,2216787769707913,Nia,F. Malan,M,12/3,092257337572
4,2215807580291597,Maximiliano,F. Becky,M,26/5,092258091754
5,2216953314557543,Sadie,S. Berkeley,M,26/5,092248365220
6,2217336686367846,Talia,G. Michael,M,26/5,092299684651
7,2211966655625915,Camden,F. Pitman,M,4/3,092220858226
8,2218706950098810,Coraline,U. Mark,M,26/5,092249778873
9,2210621892237020,Anais,V. Jim,M,12/3,092282292307
10,2210841977488330,Ana,A. Luke,M,12/3,092236795023
11,2212133552312211,Kenny,X. Hoover,M,12/3,092252635757
12,2214822743292862,Kace,L. Harrington,M,12/3,092234259113
13,2219905896622782,Bodie,U. Moll,F,24/8,092200667702
14,2217353863879942,Patricia,A. Beaufort,F,16/6,092263069814
15,2215012219563415,Billy,L. Larkin,M,3/7,092259939752
16,2212395321873290,Gus,P. Mike,M,3/7,092299016772
17,2215149427282428,Rhys,S. Polly,M,3/7,092271584373
18,2217163255861036,Lance,C. Nathaniei,M,11/1,092297530845
19,2214754502101897,Gideon,J. Darwin,M,2/5,092244508641
20,2217502297797492,Xavier,X. Patience,M,12/9,092267947344
21,2211616973276882,Rene,O. Miller,M,12/9,092271942853
22,2219287254099176,Stephens,L. Pepys,M,12/9,092202738259
23,2213045900838238,Hassan,L. Stone,M,13/5,092209259703
24,2211728095281706,Deangelo,U. Gonzalez,M,13/5,092242129806
25,2214200935098074,Alvin,F. Milton,M,27/3,092212088219
26,2219364331914849,Cameron,W. Thompson,M,13/1,092230745311
27,2218110692892988,Karlee,U. Jacob,M,3/9,092286384159
28,2216028260538046,Ola,K. Charles,M,3/9,092271070659
29,2214562748334619,Alijah,R. Barnes,M,3/9,092225604079
30,2217047525859146,Delores,J. Partridge,F,20/4,092240331067
31,2214948972186775,Amirah,R. Dewey,F,20/4,092273004174
32,2214815254384352,Branson,N. Eipstein,F,10/12,092280359693
33,2216115874962569,Bethany,F. Bridges,F,10/12,092233183457
34,2217853513452774,Livia,X. Dillon,F,3/2,092229035567
35,2210012475369209,Aitana,K. Murray,M,3/9,092286698007
36,2214728272720301,Max,G. Browne,M,6/9,092246459035
37,2214300611994788,Kora,K. Rivera,F,9/10,092213607572
38,2218670328249116,Nicholas,K. Ellis,M,11/9,092273378565
39,2219354076579993,Taylor,N. Timothy,M,28/11,092224571886
40,2216385294305958,Juliette,O. Craigie,M,12/5,092268656494
41,2213859980777465,Nayeli,T. Marshall,F,10/6,092298874686
42,2211443610672451,Zev,R. Landon,F,10/6,092235827955
43,2215602020796276,Rafael,J. Cooper,F,10/6,092200503377
44,2214539307420430,Simpson,K. Rose,F,18/12,092203931697
45,2213598825623672,Novah,O. Blake,F,16/8,092287911976
46,2211156861582283,Meadow,N. Herty,M,11/3,092222424901
47,2210726964481979,Trace,C. Carter,F,3/10,092218777831
48,2218079297202909,Blaire,J. Camp,F,6/10,092290099181
49,2210980374582329,Arian,H. Malan,F,28/12,092204064743
50,2213395575695767,Bishop,V. Robeson,M,5/7,092205242133
51,2216060721313767,Mikayla,W. Hobbes,F,26/2,092239370966
52,2217982311411332,Lila,G. Jackson,F,26/2,092275318035
53,2211446417946572,Leila,F. Arthur,F,12/12,092224800546
54,2219435480730726,Rocco,T. Morris,M,13/1,092287590231
55,2210718531624773,Roland,U. Partridge,F,6/4,092219371263
56,2211382463952060,Ingrid,V. Brown,F,9/4,092294747599
57,2219418864562698,Brooklynn,S. Jim,M,4/5,092276022517
58,2217998590438701,Lynn,O. House,M,4/5,092241418340
59,2213165487557067,Valarie,Q. Babbitt,F,14/10,092251170673
60,2212333551770270,Claire,R. Leopold,F,18/6,092243593420
61,2217085039002991,Udo,R. Betty,F,18/6,092245314337
62,2212470010026953,Sullivan,P. Strachey,F,27/10,092238568011
63,2214803073892786,Alyson,Z. Sara(h),F,8/2,092244289842
64,2218849496880985,Erica,T. Mike,M,29/9,092225924206
65,2213067646888800,Christopher,N. Gallacher,M,3/1,092229214873
66,2218013147310738,Reece,Y. Gregory,M,3/1,092270976004
67,2210517286234934,Brantley,X. Lyly,M,3/1,092217980372
68,2214924379621835,Jemma,V. Pound,F,14/6,092282555185
69,2215875072063641,Kaylie,Z. Lawrence,F,1/2,092245650509
70,2212651052158544,Landyn,U. Moll,M,23/3,092277428936
71,2212752791507634,Nancy,X. Eipstein,M,23/3,092238110215
72,2215893146226460,Hunt,M. Bradley,F,10/4,092291188851
73,2219811703429012,Mariam,Z. Austen,M,13/11,092247654916
74,2210111547481919,Joan,D. Mond,M,13/11,092299945774
75,2210064743884277,Adalynn,A. Adam,M,22/1,092275989424
76,2219419197901374,Yanira,D. Whitman,F,17/2,092259784035
77,2219780466659466,Yee,L. Steinbeck,F,20/2,092257455147
78,2215259225834865,Wanda,F. Grote,F,20/2,092275761306
79,2211611933245986,Steve,I. Zimmerman,M,12/9,092256917875
80,2210828233908048,Kyler,U. MacDonald,F,19/12,092239643946
81,2215734122729493,Quigley,T. Crichton,F,19/12,092230050205
82,2218826030871567,Bell,I. Jack,M,6/1,092296093921
83,2213466267305810,Jorge,P. Brown,M,21/11,092266510149
84,2218328655983254,Genesis,B. Sam,M,21/11,092228741678
85,2214555642624089,Bridget,A. Gard(i)ner,F,7/10,092205672844
86,2217730271416229,Zavier,O. Wallis,F,7/10,092227606845
87,2218480879200857,Bexley,L. Barnard,F,7/10,092259556218
