No,Student ID,First name,Last name,Gender, Date of Birth,Social ID
1,22106595,Eli,L. Kathleen,M,11/11,092245085212
2,22109673,Butler,B. Robinson,M,11/11,092238420714
3,22129643,Heath,A. Nick,M,19/11,092212578721
4,22113963,Kimber,K. Fred,F,14/6,092255741610
5,22170199,Paola,X. Butler,M,1/7,092244924902
6,22197621,Nataly,G. Marcellus,M,16/5,092214576238
7,22182024,Holmes,P. Young,M,16/5,092295861651
8,22140500,Jane,Q. Arnold,M,16/5,092230833069
9,22162107,Meilani,C. Sam,M,16/5,092286825736
10,22175018,Ellen,R. Bronte,M,16/5,092250406697
11,22169561,Faith,C. Ross,M,4/7,092206403680
12,22121195,Jaxxon,C. Susan,M,19/5,092259506884
13,22128282,Ronin,S. Toynbee,M,19/5,092259265092
14,22190732,Riley,N. Nancy,M,19/5,092256458557
15,22158552,Gwen,C. Ezekiel,M,19/5,092258421672
16,22150076,Scarlet,L. Ruth,M,19/5,092226011209
17,22199058,Linda,G. Christian,F,11/12,092263165406
18,22135088,Kallie,K. Lizzie,F,11/12,092266507306
19,22160155,Cruz,B. Mitchell,F,11/12,092225114187
20,22186741,Dani,L. Davis,F,17/12,092200108833
21,22173385,Jazlynn,S. Becky,M,19/11,092219659418
22,22108312,Athena,X. Christ,M,12/7,092217198635
23,22177382,Kash,F. Howard,F,4/2,092278388649
24,22131805,Zane,S. Clark,F,4/2,092228666612
25,22126397,Easton,T. Bach,F,4/2,092217579420
26,22152286,Jesus,B. Beard,F,4/2,092248242263
27,22171484,Stevens,M. Agnes,F,4/2,092279908178
28,22151611,Ted,I. Emerson,F,14/6,092237968239
29,22130290,Mason,R. Leonard,F,14/6,092214695197
30,22175960,Kallie,M. DeQuincey,M,6/1,092269685238
31,22169258,Jase,T. Horatio,M,6/1,092274857552
32,22171157,Scarlett,O. Job,M,6/1,092229152526
33,22129842,Clyde,F. Cooper,M,6/1,092245384469
34,22112149,Maddison,M. Laurie,M,28/3,092218663722
35,22138447,Alessandra,T. Thorndike,M,14/1,092262974170
36,22128100,Zhavia,K. Kipling,M,2/3,092225675014
37,22139998,Jaxtyn,G. Lewis,M,17/1,092255712194
38,22194603,Miracle,P. Morgan,F,4/2,092260459632
39,22130596,Dorothy,Y. Landon,F,4/2,092218073572
40,22116154,Ray,O. Bradley,M,20/1,092252128594
41,22118544,Landyn,J. Hornby,M,20/1,092250090488
42,22121537,Urena,U. Dodd,M,29/5,092201057482
43,22146568,Avi,F. Bradley,M,29/5,092232461674
44,22179793,Daniela,L. Murray,M,29/5,092238687557
45,22160931,Eden,H. Louis,M,13/9,092286618376
46,22168304,Dayana,U. Caroline,F,5/4,092260635552
47,22178569,Aniyah,Q. Elizabeth,F,5/4,092209759881
48,22154226,Kamari,S. Gunter,M,26/11,092273771805
49,22178287,Avery,Z. Fowler,M,26/11,092272786514
50,22121089,Lilith,U. Hill,M,26/11,092292468212
51,22137935,Quana,T. DuBois,M,26/11,092299572882
52,22128645,Desmond,K. Barney,F,8/4,092217830896
53,22193443,Ruben,U. Trevelyan,F,8/4,092213253230
54,22179887,Anais,F. MacAdam,F,8/4,092279001037
55,22127825,Hugo,P. Howard,M,29/11,092256080990
56,22193594,Caiden,A. Haggai,M,29/11,092219620182
57,22171546,Emberly,I. Timothy,M,29/11,092274783163
58,22148915,Julius,E. Sinclair,M,29/11,092213941860
59,22116198,Messiah,M. Norris,M,29/11,092285589514
60,22105397,Lena,B. Julius,M,15/9,092244888394
61,22181112,Ingrid,Q. Pansy,F,5/10,092213943259
62,22193757,Skyler,D. Benedict,F,13/4,092229471650
63,22172613,Otto,T. Oliver,M,15/3,092289846317
64,22167529,Thaddeus,I. Joshua,M,15/3,092216590493
65,22198537,Aaron,E. Jerry,M,8/11,092260818459
66,22177467,Charleigh,B. Pearson,M,18/3,092223428160
67,22190252,Imelda,Z. Titus,M,18/3,092263660391
68,22107599,Jerry,B. Dupont,F,10/10,092215012734
69,22142253,Raelynn,D. Hugh,M,21/3,092241037357
70,22152377,Arabella,R. Sweet,M,21/3,092242269786
71,22151847,Kyle,S. Campbell,M,21/3,092234235985
72,22137908,Gerald,A. Raman,M,21/3,092297887221
73,22196549,Stanley,C. Noel,F,13/10,092229288667
74,22131601,Harmony,Q. Nathaniei,F,13/10,092247463276
75,22158207,Diego,N. Giles,F,3/12,092295662241
76,22163688,Winnifred,B. Haywood,F,13/4,092243097722
77,22136485,Hilda,O. Diaz,F,13/4,092227266480
78,22183792,Tristen,B. Clare,F,6/12,092255880526
79,22128299,Ariya,Z. Johnson,M,27/7,092234151143
80,22169008,Cataleya,S. Browning,M,27/7,092229196555
81,22165599,Marcos,K. Rudolf,M,27/7,092243304355
82,22136020,Daniella,H. Webb,M,9/7,092282107255
83,22185119,Lorelai,K. Lynd,F,11/6,092239918204
84,22164433,Ahmir,M. Smith,F,17/6,092239281581
85,22184896,Lorenzo,Q. Watson,F,17/6,092229102007
86,22177217,Kenzo,V. Robert,F,17/6,092267137474
87,22158406,Ethan,U. Wyat,M,9/1,092281958542
88,22198367,Jefferson,P. Dewar,F,1/8,092282432272
89,22103654,Hendrix,U. Roger,F,1/8,092229219059
90,22119112,Frankie,U. Caroline,F,1/8,092244297991
91,22172840,Kyle,Y. Cronin,M,12/1,092209767349
92,22177987,Justice,I. Isabel,M,12/1,092281483416
